Season,Player Name,Madden OVR,Notes
2020,Carlos Hyde,84,Signed with Seahawks
2020,Lamar Miller,83,Signed with Patriots
2020,Frank Gore,82,Signed with Jets
2020,LeSean McCoy,82,Signed with Buccaneers
2020,Peyton Barber,80,Signed with Washington
2020,Dion Lewis,79,Signed with Giants
2020,Ty Montgomery,78,Signed with Saints
2020,Theo Riddick,77,Free agent
2020,C.J. Prosise,77,Signed with Texans
2020,Chris Thompson,78,Signed with Jaguars
2020,Spencer Ware,76,Free agent
2020,Jonathan Williams,76,Signed with Lions
2020,Alfred Blue,76,Free agent
2020,Rod Smith,75,Signed with Raiders
2020,Wendell Smallwood,76,Free agent
2020,Benny Snell Jr.,78,Re-signed with Steelers
2020,Bo Scarbrough,77,Signed with Seahawks
2021,Aaron Jones,91,Re-signed with Packers
2021,Chris Carson,89,Re-signed with Seahawks
2021,Kenyan Drake,87,Signed with Raiders
2021,James Conner,85,Signed with Cardinals
2021,Mike Davis,84,Signed with Falcons
2021,Todd Gurley,83,Free agent
2021,Duke Johnson,82,Signed with Dolphins
2021,Phillip Lindsay,84,Signed with Texans
2021,Leonard Fournette,86,Re-signed with Buccaneers
2021,Le’Veon Bell,82,Free agent
2021,Malcolm Brown,81,Signed with Dolphins
2021,Wayne Gallman,80,Signed with 49ers
2021,Cordarrelle Patterson,80,Signed with Falcons
2021,Mark Ingram,83,Signed with Texans
2021,Latavius Murray,82,Signed with Ravens
2021,Jerick McKinnon,80,Signed with Chiefs
2021,Rex Burkhead,80,Signed with Texans
2021,Theo Riddick,77,Retired
2021,T.J. Yeldon,78,Free agent
2021,Kalen Ballage,78,Signed with Steelers
2022,Leonard Fournette,90,Re-signed with Buccaneers
2022,James Conner,89,Re-signed with Cardinals
2022,Rashaad Penny,85,Re-signed with Seahawks
2022,Chase Edmonds,86,Signed with Dolphins
2022,Raheem Mostert,85,Signed with Dolphins
2022,Sony Michel,84,Signed with Dolphins
2022,Melvin Gordon,83,Re-signed with Broncos
2022,D’Onta Foreman,83,Signed with Panthers
2022,Jeff Wilson Jr.,84,Traded to Dolphins
2022,Latavius Murray,82,Signed with Broncos
2022,J.D. McKissic,83,Re-signed with Commanders
2022,Mark Ingram,81,Re-signed with Saints
2022,Darrel Williams,81,Signed with Cardinals
2022,Devontae Booker,80,Free agent
2022,Wayne Gallman,79,Free agent
2022,Marlon Mack,82,Signed with Texans
2022,Phillip Lindsay,80,Signed with Colts
2022,David Johnson,81,Free agent
2022,Boston Scott,80,Re-signed with Eagles
2022,Rex Burkhead,80,Re-signed with Texans
2023,Josh Jacobs,92,Franchise tagged by Raiders
2023,Saquon Barkley,91,Franchise tagged by Giants
2023,Tony Pollard,89,Franchise tagged by Cowboys
2023,Miles Sanders,88,Signed with Panthers
2023,David Montgomery,87,Signed with Lions
2023,Jamaal Williams,86,Signed with Saints
2023,Devin Singletary,85,Signed with Texans
2023,D’Onta Foreman,84,Signed with Bears
2023,Samaje Perine,84,Signed with Broncos
2023,Jeff Wilson Jr.,83,Re-signed with Dolphins
2023,Raheem Mostert,83,Re-signed with Dolphins
2023,Alexander Mattison,83,Re-signed with Vikings
2023,Kareem Hunt,84,Free agent
2023,Ezekiel Elliott,85,Signed with Patriots
2023,Leonard Fournette,84,Free agent
2023,Melvin Gordon,83,Practice squad Ravens
2023,J.D. McKissic,82,Free agent
2023,Mark Ingram,80,Free agent
2023,Boston Scott,80,Re-signed with Eagles
2023,Justice Hill,80,Re-signed with Ravens
2024,Saquon Barkley,89,Signed with Eagles
2024,Josh Jacobs,91,Signed with Packers
2024,Derrick Henry,90,Signed with Ravens
2024,Austin Ekeler,87,Signed with Commanders
2024,Tony Pollard,86,Signed with Titans
2024,D’Andre Swift,85,Signed with Bears
2024,Zack Moss,84,Signed with Bengals
2024,Devin Singletary,84,Signed with Giants
2024,Clyde Edwards-Helaire,82,Signed with Buccaneers
2024,J.K. Dobbins,82,Injury concern — signed low guarantee
2024,Alexander Mattison,83,Re-signed with Vikings
2024,Rico Dowdle,79,Re-signed with Cowboys
2024,Jeff Wilson Jr.,80,Re-signed with Dolphins
2024,Jerick McKinnon,80,Re-signed with Chiefs
2024,Latavius Murray,78,Free agent
2024,Kareem Hunt,80,Free agent
2024,Cordarrelle Patterson,77,Signed with Steelers
2024,Rashaad Penny,78,Signed with Panthers
2024,Boston Scott,79,Signed with Rams
2024,Cam Akers,81,Free agent (Achilles injury)

