Team,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
KC  KC,"$4,699,919","$5,444,650","$2,374,735","$2,908,155","$23,408,500","$4,193,094","$3,320,964","$3,350,859","$2,826,341","$2,217,702","$-9,347,781"
LAC  LAC,,,"$11,949,256","$2,535,340","$2,968,982","$6,579,352","$8,683,218","$3,670,329","$8,006,038","$3,935,186","$4,011,052"
LAR  LAR,,"$6,007,539","$5,094,547","$1,637,802","$8,439,201","$7,270,935","$2,861,686","$829,844","$7,693,754","$3,097,450","$-6,396,229"
LV  LV,,,,,,"$5,860,656","$296,100","$7,333,281","$11,529,499","$35,897,151","$24,806,908"
MIA  MIA,"$8,048,001","$15,379,972","$38,597","$7,009,611","$21,380,539","$14,969,340","$2,019,904","$4,040,558","$1,735,990","$18,415,532","$-2,880,599"
MIN  MIN,"$2,605,481","$-287,169","$16,153,930","$-5,679,219","$805,215","$2,364,928","$-1,346,576","$1,009,641","$8,959,126","$10,173,975","$-10,163,227"
NE  NE,"$3,261,662","$11,967,563","$3,847,061","$4,379,937","$5,384,876","$24,007,947","$5,239,388","$2,195,446","$528,826","$36,456,118","$53,406,721"
NO  NO,"$1,878,403","$9,273,108","$1,434,963","$1,467,541","$2,116,308","$3,920,462","$180,246","$-828,041","$3,635,502","$8,519,943","$-996,843"
NYG  NYG,"$15,090,461","$12,418,930","$288,932","$6,584,539","$1,492,067","$4,820,488","$2,972,804","$2,932,891","$6,182,522","$2,577,158","$-23,028,166"
NYJ  NYJ,"$3,139,062","$-554,565","$22,199,908","$17,725,853","$14,024,951","$24,566,915","$4,861,174","$8,529,455","$6,034,929","$2,592,821","$1,212,331"
OAK  OAK,"$14,800,918","$3,997,657","$9,775,008","$5,956,643","$19,778,721",,,,,,
PHI  PHI,"$9,547,182","$9,612,468","$3,776,455","$6,157,735","$28,538,697","$21,506,475","$17,817,323","$4,954,419","$2,566,558","$9,366,571","$-7,783,857"
PIT  PIT,"$5,198,028","$6,209,005","$5,498,476","$19,555,944","$493,991","$6,026,871","$11,542,925","$4,541,408","$2,926,605","$9,927,701","$6,778,600"
SD  SD,"$2,157,957","$1,304,400",,,,,,,,,
SEA  SEA,"$893,139","$4,221,582","$1,741,563","$2,514,391","$11,890,797","$-1,255,714","$11,228,110","$1,403,434","$7,127,512","$8,131,185","$9,803,052"
SF  SF,"$13,115,521","$42,579,751","$59,518,214","$33,935,479","$10,581,233","$4,030,878","$662,008","$6,417,543","$37,989,804","$50,467,685","$19,402,870"
STL  STL,"$3,986,497",,,,,,,,,,
TB  TB,"$11,342,607","$5,413,268","$18,797,828","$2,494,782","$10,019,020","$4,263,627","$931,909","$2,839,227","$3,752,054","$8,459,981","$7,270,197"
TEN  TEN,"$25,690,907","$25,895,103","$29,388,759","$25,140,608","$20,789,952","$3,752,451","$6,128,963","$1,106,126","$9,408,724","$15,492,667","$20,758,023"
Totals,"$267,303,801","$355,176,249","$396,832,098","$334,423,899","$413,064,608","$320,837,596","$165,493,436","$152,737,035","$249,268,658","$423,944,377","$22,310,106"
WAS  WAS,"$6,802,213","$15,847,898","$1,758,695","$5,889,026","$12,923,089","$15,959,850","$6,172,203","$5,931,753","$12,093,648","$24,017,815","$-6,235,978"
